id,item_group_id,sku,gtin,mpn,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,gender,age_group,color,size
6933b00e99275ed91778e82c,6933b00e99275ed91778e82c,JEW-KIC-GOLD-B74B,GTIN-6933b00e99275ed91778e82c,MPN-6933b00e99275ed91778e82c,Heart Anklet 😍✨,"100% authentic original product — not replica, fake or first copy.",in stock,new,999.00 PKR,https://kicks-kraze.com/product?product_id=6933b00e99275ed91778e82c,https://kickskraze.b-cdn.net/kickskraze/Amb2WNBkNX.webp,Kickskraze,Apparel & Accessories > Jewelry > Anklets,jewelry & watches > jewelry > anklets,1,female,all ages,Gold,
6933a7524f8890643cbf5c50,6933a7524f8890643cbf5c50,JEW-KIC-GOLD-C160,GTIN-6933a7524f8890643cbf5c50,MPN-6933a7524f8890643cbf5c50,Butterfly Pendant 😍✨,"100% authentic original product — not replica, fake or first copy.",in stock,new,1199.00 PKR,https://kicks-kraze.com/product?product_id=6933a7524f8890643cbf5c50,https://kickskraze.b-cdn.net/kickskraze/5bvQzr7-tC.webp,Kickskraze,Apparel & Accessories > Jewelry > Charms & Pendants,jewelry & watches > jewelry > charms & pendants,1,female,all ages,Gold,
6933a6cb4f8890643cbf4275,6933a6cb4f8890643cbf4275,JEW-KIC-GOLD-6101,GTIN-6933a6cb4f8890643cbf4275,MPN-6933a6cb4f8890643cbf4275,Bow Pendant 💫😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,999.00 PKR,https://kicks-kraze.com/product?product_id=6933a6cb4f8890643cbf4275,https://kickskraze.b-cdn.net/kickskraze/2r43LjuaOl.webp,Kickskraze,Apparel & Accessories > Jewelry > Charms & Pendants,jewelry & watches > jewelry > charms & pendants,1,female,all ages,Gold,
6933a66f4f8890643cbf289f,6933a66f4f8890643cbf289f,JEW-KIC-GOLD-D83B,GTIN-6933a66f4f8890643cbf289f,MPN-6933a66f4f8890643cbf289f,Cute Bracelet ,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=6933a66f4f8890643cbf289f,https://kickskraze.b-cdn.net/kickskraze/L34N5NQVEE.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,Gold,
6933a6074f8890643cbef4e6,6933a6074f8890643cbef4e6,JEW-KIC-BLACK-671F,GTIN-6933a6074f8890643cbef4e6,MPN-6933a6074f8890643cbef4e6,Black & Golden Cuff 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1299.00 PKR,https://kicks-kraze.com/product?product_id=6933a6074f8890643cbef4e6,https://kickskraze.b-cdn.net/kickskraze/qLydZa1G84.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,Black,
6933a58b4f8890643cbedb0f_undefined,6933a58b4f8890643cbedb0f,JEW-KIC-BLACK-43BF,GTIN-6933a58b4f8890643cbedb0f-undefined,MPN-6933a58b4f8890643cbedb0f-undefined,Unique Cuffs Adjustable 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=6933a58b4f8890643cbedb0f,https://kickskraze.b-cdn.net/kickskraze/QY7JZSm1H3.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,"Black, White, Gold",1
6933a58b4f8890643cbedb0f_undefined,6933a58b4f8890643cbedb0f,JEW-KIC-BLACK-6B52,GTIN-6933a58b4f8890643cbedb0f-undefined,MPN-6933a58b4f8890643cbedb0f-undefined,Unique Cuffs Adjustable 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=6933a58b4f8890643cbedb0f,https://kickskraze.b-cdn.net/kickskraze/QY7JZSm1H3.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,"Black, White, Gold",1
6933a58b4f8890643cbedb0f_undefined,6933a58b4f8890643cbedb0f,JEW-KIC-BLACK-7D11,GTIN-6933a58b4f8890643cbedb0f-undefined,MPN-6933a58b4f8890643cbedb0f-undefined,Unique Cuffs Adjustable 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=6933a58b4f8890643cbedb0f,https://kickskraze.b-cdn.net/kickskraze/QY7JZSm1H3.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,"Black, White, Gold",1
6933a5274f8890643cbec13e_undefined,6933a5274f8890643cbec13e,JEW-KIC-BLACK-1621,GTIN-6933a5274f8890643cbec13e-undefined,MPN-6933a5274f8890643cbec13e-undefined,Flower Cuff 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1299.00 PKR,https://kicks-kraze.com/product?product_id=6933a5274f8890643cbec13e,https://kickskraze.b-cdn.net/kickskraze/zVO2yavTtK.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,"Black, White",1
6933a5274f8890643cbec13e_undefined,6933a5274f8890643cbec13e,JEW-KIC-BLACK-C536,GTIN-6933a5274f8890643cbec13e-undefined,MPN-6933a5274f8890643cbec13e-undefined,Flower Cuff 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1299.00 PKR,https://kicks-kraze.com/product?product_id=6933a5274f8890643cbec13e,https://kickskraze.b-cdn.net/kickskraze/zVO2yavTtK.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,"Black, White",1
