id,item_group_id,sku,gtin,mpn,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,gender,age_group,color,size
69b41a202980aa9dc677e9e4_undefined,69b41a202980aa9dc677e9e4,FWA-KIC-WHITE-61CB,GTIN-69b41a202980aa9dc677e9e4-undefined,MPN-69b41a202980aa9dc677e9e4-undefined,Premium Cotton Shoe Laces ,"100% authentic original product — not replica, fake or first copy.",in stock,new,80.00 PKR,https://kicks-kraze.com/product?product_id=69b41a202980aa9dc677e9e4,https://kickskraze.b-cdn.net/kickskraze/CpA4Q15QK4.webp,Kickskraze,Apparel & Accessories > Shoe Accessories,clothing & accessories > shoes & footwear > shoe accessories > insoles,1,unisex,all ages,"White, Brown, Black",1
69b41a202980aa9dc677e9e4_undefined,69b41a202980aa9dc677e9e4,FWA-KIC-WHITE-8D12,GTIN-69b41a202980aa9dc677e9e4-undefined,MPN-69b41a202980aa9dc677e9e4-undefined,Premium Cotton Shoe Laces ,"100% authentic original product — not replica, fake or first copy.",in stock,new,80.00 PKR,https://kicks-kraze.com/product?product_id=69b41a202980aa9dc677e9e4,https://kickskraze.b-cdn.net/kickskraze/CpA4Q15QK4.webp,Kickskraze,Apparel & Accessories > Shoe Accessories,clothing & accessories > shoes & footwear > shoe accessories > insoles,1,unisex,all ages,"White, Brown, Black",1
69b41a202980aa9dc677e9e4_undefined,69b41a202980aa9dc677e9e4,FWA-KIC-WHITE-8E3F,GTIN-69b41a202980aa9dc677e9e4-undefined,MPN-69b41a202980aa9dc677e9e4-undefined,Premium Cotton Shoe Laces ,"100% authentic original product — not replica, fake or first copy.",in stock,new,80.00 PKR,https://kicks-kraze.com/product?product_id=69b41a202980aa9dc677e9e4,https://kickskraze.b-cdn.net/kickskraze/CpA4Q15QK4.webp,Kickskraze,Apparel & Accessories > Shoe Accessories,clothing & accessories > shoes & footwear > shoe accessories > insoles,1,unisex,all ages,"White, Brown, Black",1
69af5c022980aa9dc63cb277,69af5c022980aa9dc63cb277,BAF-CON-37.5-C10A,GTIN-69af5c022980aa9dc63cb277,MPN-69af5c022980aa9dc63cb277,"Chuck Taylor | Maroon & White | Converse","100% authentic original product — not replica, fake or first copy.",in stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69af5c022980aa9dc63cb277,https://kickskraze.b-cdn.net/kickskraze/qJAnaHF4yJ.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,37.5
69ad2f4910ea48121433a29b,69ad2f4910ea48121433a29b,BAF-VAN-44-5FDB,GTIN-69ad2f4910ea48121433a29b,MPN-69ad2f4910ea48121433a29b,"Vans | Black & White | Old Skool","100% authentic original product — not replica, fake or first copy.",out of stock,used,2650.00 PKR,https://kicks-kraze.com/product?product_id=69ad2f4910ea48121433a29b,https://kickskraze.b-cdn.net/kickskraze/9UhIayYYvc.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44
69ad2ee810ea48121433773e,69ad2ee810ea48121433773e,BAF-CON-39-8907,GTIN-69ad2ee810ea48121433773e,MPN-69ad2ee810ea48121433773e,"Converse | Black & White | All Star","100% authentic original product — not replica, fake or first copy.",in stock,used,2999.00 PKR,https://kicks-kraze.com/product?product_id=69ad2ee810ea48121433773e,https://kickskraze.b-cdn.net/kickskraze/WKCJzqZwsB.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,39
69ad2e9510ea481214334be3,69ad2e9510ea481214334be3,BAF-CON-44-5014,GTIN-69ad2e9510ea481214334be3,MPN-69ad2e9510ea481214334be3,"Converse | Special Edition | All Star","100% authentic original product — not replica, fake or first copy.",in stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69ad2e9510ea481214334be3,https://kickskraze.b-cdn.net/kickskraze/rCNVFMisXo.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,44
69ad2e3e10ea481214332086,69ad2e3e10ea481214332086,BAF-CON-41-2185,GTIN-69ad2e3e10ea481214332086,MPN-69ad2e3e10ea481214332086,"Converse | Black, Blue & White | All Star","100% authentic original product — not replica, fake or first copy.",in stock,used,2999.00 PKR,https://kicks-kraze.com/product?product_id=69ad2e3e10ea481214332086,https://kickskraze.b-cdn.net/kickskraze/62IzDiDY49.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,41
69ad2d7210ea48121432f52f,69ad2d7210ea48121432f52f,BAF-CON-44-A776,GTIN-69ad2d7210ea48121432f52f,MPN-69ad2d7210ea48121432f52f,"Chuck Taylor | Special Edition | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69ad2d7210ea48121432f52f,https://kickskraze.b-cdn.net/kickskraze/-hejP5cC0M.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44
69ad2d0610ea48121432c9e9,69ad2d0610ea48121432c9e9,BAF-CON-37.5-B748,GTIN-69ad2d0610ea48121432c9e9,MPN-69ad2d0610ea48121432c9e9,"Chuck Taylor | Special Edition | Chunky Converse","100% authentic original product — not replica, fake or first copy.",in stock,used,3499.00 PKR,https://kicks-kraze.com/product?product_id=69ad2d0610ea48121432c9e9,https://kickskraze.b-cdn.net/kickskraze/5sTCo6h4cd.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,37.5
